cycle,time,speed,elevation
SunLine Block 1012,0,0,66.86
SunLine Block 1012,60,0,66.86
SunLine Block 1012,120,0,66.86
SunLine Block 1012,180,0,66.86
SunLine Block 1012,240,0,66.86
SunLine Block 1012,301,0,66.86
SunLine Block 1012,361,0,66.86
SunLine Block 1012,421,0,66.86
SunLine Block 1012,481,0,66.86
SunLine Block 1012,541,0,66.71
SunLine Block 1012,601,14,66.82
SunLine Block 1012,661,7,66.6
SunLine Block 1012,721,57,66.88
SunLine Block 1012,781,37,64.94
SunLine Block 1012,841,48,65.78
SunLine Block 1012,901,99,57.28
SunLine Block 1012,961,99,52.2
SunLine Block 1012,1021,97,49.5
SunLine Block 1012,1081,98,46.49
SunLine Block 1012,1141,98,39.86
SunLine Block 1012,1201,98,31.37
SunLine Block 1012,1261,99,22.49
SunLine Block 1012,1321,98,15.77
SunLine Block 1012,1381,99,10.44
SunLine Block 1012,1441,98,1.32
SunLine Block 1012,1501,98,-2.9
SunLine Block 1012,1561,97,-5.45
SunLine Block 1012,1621,97,-10.7
SunLine Block 1012,1681,96,-13.68
SunLine Block 1012,1741,98,-18.39
SunLine Block 1012,1801,9,-21.36
SunLine Block 1012,1861,75,-20.74
SunLine Block 1012,1921,2,-17.95
SunLine Block 1012,1981,29,-18.12
SunLine Block 1012,2041,3,-20.84
SunLine Block 1012,2101,0,-20.88
SunLine Block 1012,2161,0,-20.88
SunLine Block 1012,2221,0,-20.85
SunLine Block 1012,2281,0,-20.85
SunLine Block 1012,2341,0,-20.88
SunLine Block 1012,2401,0,-20.84
SunLine Block 1012,2461,0,-20.84
SunLine Block 1012,2521,0,-20.85
SunLine Block 1012,2581,0,-20.85
SunLine Block 1012,2641,0,-20.85
SunLine Block 1012,2701,0,-20.85
SunLine Block 1012,2761,0,-20.85
SunLine Block 1012,2821,0,-20.85
SunLine Block 1012,2881,0,-20.85
SunLine Block 1012,2941,0,-20.85
SunLine Block 1012,3001,0,-20.85
SunLine Block 1012,3061,5,-20.85
SunLine Block 1012,3121,13,-20.37
SunLine Block 1012,3182,0,-19.56
SunLine Block 1012,3242,0,-18.63
SunLine Block 1012,3302,0,-17.86
SunLine Block 1012,3362,55,-17.48
SunLine Block 1012,3422,62,-15.95
SunLine Block 1012,3482,74,-14.16
SunLine Block 1012,3541,86,-11.16
SunLine Block 1012,3602,73,-8.61
SunLine Block 1012,3661,0,-8.15
SunLine Block 1012,3722,0,-8.17
SunLine Block 1012,3782,0,-6.18
SunLine Block 1012,3842,64,-5.19
SunLine Block 1012,3902,22,-4.59
SunLine Block 1012,3962,38,-3.74
SunLine Block 1012,4022,15,-2.55
SunLine Block 1012,4082,56,-1.95
SunLine Block 1012,4142,42,-1.12
SunLine Block 1012,4202,23,0
SunLine Block 1012,4262,0,1.81
SunLine Block 1012,4322,71,3.97
SunLine Block 1012,4382,0,4.97
SunLine Block 1012,4442,37,4.97
SunLine Block 1012,4501,62,4.97
SunLine Block 1012,4561,0,4.97
SunLine Block 1012,4621,68,4.97
SunLine Block 1012,4681,37,4.97
SunLine Block 1012,4742,57,4.97
SunLine Block 1012,4802,0,4.97
SunLine Block 1012,4861,22,4.97
SunLine Block 1012,4924,60,4.97
SunLine Block 1012,4984,3,21.87
SunLine Block 1012,5044,0,24.28
SunLine Block 1012,5104,38,25.09
SunLine Block 1012,5165,19,30.32
SunLine Block 1012,5225,32,32.63
SunLine Block 1012,5285,92,29.13
SunLine Block 1012,5345,75,41.97
SunLine Block 1012,5405,0,42.17
SunLine Block 1012,5465,38,42.54
SunLine Block 1012,5525,70,42.54
SunLine Block 1012,5585,0,42.54
SunLine Block 1012,5645,54,42.54
SunLine Block 1012,5705,59,66.5
SunLine Block 1012,5765,32,69.38
SunLine Block 1012,5825,57,68.62
SunLine Block 1012,5885,0,68.56
SunLine Block 1012,5945,39,71.07
SunLine Block 1012,6005,2,66.96
SunLine Block 1012,6065,43,61.05
SunLine Block 1012,6125,0,60.84
SunLine Block 1012,6185,5,60.63
SunLine Block 1012,6245,30,61.08
SunLine Block 1012,6305,0,62.83
SunLine Block 1012,6364,37,65.22
SunLine Block 1012,6424,0,62.55
SunLine Block 1012,6485,32,64.27
SunLine Block 1012,6545,25,77.39
SunLine Block 1012,6605,24,78.52
SunLine Block 1012,6665,15,78.79
SunLine Block 1012,6725,32,77.36
SunLine Block 1012,6783,72,78.58
SunLine Block 1012,6843,73,75.33
SunLine Block 1012,6904,50,78.35
SunLine Block 1012,6963,23,79.96
SunLine Block 1012,7024,65,82.28
SunLine Block 1012,7083,0,85.42
SunLine Block 1012,7144,36,85.8
SunLine Block 1012,7204,63,85.8
SunLine Block 1012,7264,6,85.8
SunLine Block 1012,7324,37,85.8
SunLine Block 1012,7384,0,85.8
SunLine Block 1012,7444,0,85.8
SunLine Block 1012,7504,6,85.8
SunLine Block 1012,7564,43,85.8
SunLine Block 1012,7624,64,85.8
SunLine Block 1012,7684,5,85.8
SunLine Block 1012,7743,0,103.35
SunLine Block 1012,7804,63,104.21
SunLine Block 1012,7864,15,106.32
SunLine Block 1012,7923,39,111.63
SunLine Block 1012,7983,23,120.23
SunLine Block 1012,8044,33,122.71
SunLine Block 1012,8104,0,129.03
SunLine Block 1012,8163,0,130.14
SunLine Block 1012,8224,58,132.27
SunLine Block 1012,8284,8,134.47
SunLine Block 1012,8344,34,133.33
SunLine Block 1012,8404,47,139.12
SunLine Block 1012,8464,0,139.49
SunLine Block 1012,8524,7,140.38
SunLine Block 1012,8584,38,139.46
SunLine Block 1012,8644,0,138.34
SunLine Block 1012,8704,19,136.83
SunLine Block 1012,8764,3,141.55
SunLine Block 1012,8824,1,141.85
SunLine Block 1012,8884,16,142.76
SunLine Block 1012,8944,0,145.67
SunLine Block 1012,9004,53,154.24
SunLine Block 1012,9064,0,161.27
SunLine Block 1012,9124,0,166.57
SunLine Block 1012,9184,20,173.71
SunLine Block 1012,9244,0,169.38
SunLine Block 1012,9304,0,169.75
SunLine Block 1012,9364,0,169.75
SunLine Block 1012,9424,0,169.75
SunLine Block 1012,9484,0,169.75
SunLine Block 1012,9544,0,169.59
SunLine Block 1012,9605,0,169.75
SunLine Block 1012,9665,0,169.75
SunLine Block 1012,9725,0,169.75
SunLine Block 1012,9785,0,169.75
SunLine Block 1012,9845,0,169.59
SunLine Block 1012,9905,0,169.38
SunLine Block 1012,9965,0,169.54
SunLine Block 1012,10025,0,169.38
SunLine Block 1012,10084,0,169.54
SunLine Block 1012,10145,0,169.59
SunLine Block 1012,10205,34,163.36
SunLine Block 1012,10265,47,154.23
SunLine Block 1012,10325,0,147.54
SunLine Block 1012,10385,42,147.54
SunLine Block 1012,10445,14,147.54
SunLine Block 1012,10505,24,147.54
SunLine Block 1012,10565,38,147.54
SunLine Block 1012,10625,45,147.54
SunLine Block 1012,10685,0,147.54
SunLine Block 1012,10747,15,141.62
SunLine Block 1012,10807,25,141.61
SunLine Block 1012,10867,0,139.18
SunLine Block 1012,10923,66,135.53
SunLine Block 1012,10984,18,133.97
SunLine Block 1012,11046,59,132.36
SunLine Block 1012,11107,0,129.39
SunLine Block 1012,11167,31,129.11
SunLine Block 1012,11227,36,124.94
SunLine Block 1012,11285,44,121.56
SunLine Block 1012,11345,67,120.2
SunLine Block 1012,11405,73,106.71
SunLine Block 1012,11465,0,106.72
SunLine Block 1012,11525,54,101.58
SunLine Block 1012,11585,11,100.27
SunLine Block 1012,11645,71,100.67
SunLine Block 1012,11705,40,100.32
SunLine Block 1012,11765,16,97.72
SunLine Block 1012,11825,0,102.27
SunLine Block 1012,11885,0,102.96
SunLine Block 1012,11945,0,102.55
SunLine Block 1012,12005,1,98.08
SunLine Block 1012,12065,63,93.45
SunLine Block 1012,12125,57,87.66
SunLine Block 1012,12185,3,85.73
SunLine Block 1012,12245,71,85.73
SunLine Block 1012,12305,38,85.73
SunLine Block 1012,12365,68,85.73
SunLine Block 1012,12425,45,85.73
SunLine Block 1012,12477,42,85.73
SunLine Block 1012,12545,58,85.73
SunLine Block 1012,12604,33,85.73
SunLine Block 1012,12664,10,85.73
SunLine Block 1012,12728,13,85.73
SunLine Block 1012,12788,15,85.73
SunLine Block 1012,12848,0,66.85
SunLine Block 1012,12908,0,65.64
SunLine Block 1012,12968,0,65.2
SunLine Block 1012,13026,0,65.2
SunLine Block 1012,13087,0,65.2
SunLine Block 1012,13148,0,65.2
SunLine Block 1012,13208,55,62.33
SunLine Block 1012,13268,54,60.65
SunLine Block 1012,13328,3,60.74
SunLine Block 1012,13388,46,61.04
SunLine Block 1012,13448,41,65.91
SunLine Block 1012,13508,13,69.7
SunLine Block 1012,13566,56,71.35
SunLine Block 1012,13626,0,69.59
SunLine Block 1012,13686,42,69.18
SunLine Block 1012,13746,0,69.9
SunLine Block 1012,13806,0,70.1
SunLine Block 1012,13866,74,67.96
SunLine Block 1012,13926,76,59.08
SunLine Block 1012,13986,51,55.38
SunLine Block 1012,14046,7,48.48
SunLine Block 1012,14106,45,42.74
SunLine Block 1012,14166,45,41.41
SunLine Block 1012,14226,84,30.37
SunLine Block 1012,14286,72,24.41
SunLine Block 1012,14346,32,29.64
SunLine Block 1012,14405,25,29.64
SunLine Block 1012,14465,49,29.64
SunLine Block 1012,14525,34,29.64
SunLine Block 1012,14585,0,29.64
SunLine Block 1012,14645,0,29.64
SunLine Block 1012,14707,0,29.64
SunLine Block 1012,14767,0,29.64
SunLine Block 1012,14828,18,18.99
SunLine Block 1012,14888,0,18.63
SunLine Block 1012,14948,68,17.24
SunLine Block 1012,15006,52,10.69
SunLine Block 1012,15066,42,8.89
SunLine Block 1012,15126,0,6.77
SunLine Block 1012,15186,0,5.68
SunLine Block 1012,15246,10,3.87
SunLine Block 1012,15306,0,2.3
SunLine Block 1012,15366,34,2.3
SunLine Block 1012,15426,22,2.3
SunLine Block 1012,15486,0,2.3
SunLine Block 1012,15546,0,2.3
SunLine Block 1012,15606,28,2.3
SunLine Block 1012,15666,47,2.3
SunLine Block 1012,15725,0,2.3
SunLine Block 1012,15786,26,2.3
SunLine Block 1012,15846,15,2.3
SunLine Block 1012,15905,71,2.3
SunLine Block 1012,15965,3,2.3
SunLine Block 1012,16026,37,2.3
SunLine Block 1012,16089,22,-16.84
SunLine Block 1012,16149,37,-17.79
SunLine Block 1012,16209,72,-19.12
SunLine Block 1012,16269,36,-19.82
SunLine Block 1012,16329,0,-20.55
SunLine Block 1012,16389,21,-20.44
SunLine Block 1012,16449,0,-20.84
SunLine Block 1012,16509,0,-20.88
SunLine Block 1012,16569,0,-20.84
SunLine Block 1012,16629,0,-20.81
SunLine Block 1012,16689,0,-20.74
SunLine Block 1012,16749,0,-20.78
SunLine Block 1012,16809,0,-20.89
SunLine Block 1012,16869,0,-20.95
SunLine Block 1012,16929,0,-20.88
SunLine Block 1012,16989,0,-20.89
SunLine Block 1012,17049,0,-20.93
SunLine Block 1012,17110,0,-20.87
SunLine Block 1012,17170,0,-20.85
SunLine Block 1012,17230,0,-20.85
SunLine Block 1012,17288,0,-20.85
SunLine Block 1012,17348,0,-20.85
SunLine Block 1012,17408,0,-20.85
SunLine Block 1012,17468,37,-20.55
SunLine Block 1012,17528,8,-19.6
SunLine Block 1012,17588,63,-18.4
SunLine Block 1012,17648,14,-17.74
SunLine Block 1012,17708,0,-17.04
SunLine Block 1012,17768,82,-14.64
SunLine Block 1012,17828,81,-11.14
SunLine Block 1012,17888,73,-8.45
SunLine Block 1012,17948,26,-8.17
SunLine Block 1012,18008,0,-6.59
SunLine Block 1012,18068,0,-6.21
SunLine Block 1012,18128,0,-6.21
SunLine Block 1012,18188,0,-6.21
SunLine Block 1012,18248,33,-6.16
SunLine Block 1012,18308,18,-4.22
SunLine Block 1012,18368,0,-4
SunLine Block 1012,18428,31,-3.35
SunLine Block 1012,18488,41,-2.35
SunLine Block 1012,18548,59,-0.62
SunLine Block 1012,18608,44,0
SunLine Block 1012,18668,0,1.7
SunLine Block 1012,18728,0,1.82
SunLine Block 1012,18788,0,1.82
SunLine Block 1012,18848,70,1.82
SunLine Block 1012,18908,70,1.82
SunLine Block 1012,18968,13,1.82
SunLine Block 1012,19028,67,1.82
SunLine Block 1012,19088,44,1.82
SunLine Block 1012,19148,0,1.82
SunLine Block 1012,19207,0,1.82
SunLine Block 1012,19271,54,1.82
SunLine Block 1012,19331,0,1.82
SunLine Block 1012,19391,0,22.83
SunLine Block 1012,19451,30,24.6
SunLine Block 1012,19509,0,24.03
SunLine Block 1012,19569,12,23.9
SunLine Block 1012,19629,0,22.23
SunLine Block 1012,19689,57,21.99
SunLine Block 1012,19749,0,22.9
SunLine Block 1012,19809,10,25.08
SunLine Block 1012,19869,15,26.42
SunLine Block 1012,19929,46,32.76
SunLine Block 1012,19989,86,29.84
SunLine Block 1012,20049,70,42
SunLine Block 1012,20109,4,41.85
SunLine Block 1012,20169,2,46.95
SunLine Block 1012,20229,0,46.95
SunLine Block 1012,20289,71,46.95
SunLine Block 1012,20349,0,46.95
SunLine Block 1012,20409,0,46.95
SunLine Block 1012,20469,38,46.95
SunLine Block 1012,20531,61,46.95
SunLine Block 1012,20591,34,69.09
SunLine Block 1012,20651,61,68.52
SunLine Block 1012,20711,9,69.19
SunLine Block 1012,20771,1,70.9
SunLine Block 1012,20831,0,66.94
SunLine Block 1012,20892,19,60.84
SunLine Block 1012,20952,0,60.64
SunLine Block 1012,21011,38,60.54
SunLine Block 1012,21072,0,60.81
SunLine Block 1012,21132,0,63.26
SunLine Block 1012,21192,0,63.46
SunLine Block 1012,21252,58,62.19
SunLine Block 1012,21312,0,64.2
SunLine Block 1012,21372,0,66.23
SunLine Block 1012,21432,33,73.66
SunLine Block 1012,21492,44,77.67
SunLine Block 1012,21552,0,78.43
SunLine Block 1012,21612,59,76.73
SunLine Block 1012,21672,44,67.83
SunLine Block 1012,21732,2,77
SunLine Block 1012,21790,0,78.51
SunLine Block 1012,21850,77,79.8
SunLine Block 1012,21910,45,85.06
SunLine Block 1012,21970,48,85.06
SunLine Block 1012,22030,68,85.06
SunLine Block 1012,22090,10,85.06
SunLine Block 1012,22150,0,85.06
SunLine Block 1012,22210,12,85.06
SunLine Block 1012,22270,11,85.06
SunLine Block 1012,22330,10,85.06
SunLine Block 1012,22390,0,85.06
SunLine Block 1012,22450,9,85.06
SunLine Block 1012,22511,38,98.27
SunLine Block 1012,22571,0,99.75
SunLine Block 1012,22631,0,100.14
SunLine Block 1012,22691,56,100.14
SunLine Block 1012,22751,21,106.05
SunLine Block 1012,22811,32,106.67
SunLine Block 1012,22871,60,107.64
SunLine Block 1012,22931,35,120.09
SunLine Block 1012,22990,52,120.34
SunLine Block 1012,23051,61,125.93
SunLine Block 1012,23111,0,129.17
SunLine Block 1012,23171,53,130.04
SunLine Block 1012,23231,2,132.37
SunLine Block 1012,23291,52,132.72
SunLine Block 1012,23351,0,133.63
SunLine Block 1012,23411,55,139.74
SunLine Block 1012,23471,0,138.21
SunLine Block 1012,23531,3,138.78
SunLine Block 1012,23591,2,139.55
SunLine Block 1012,23651,0,140.31
SunLine Block 1012,23711,37,139.82
SunLine Block 1012,23771,18,135.04
SunLine Block 1012,23831,18,136.77
SunLine Block 1012,23891,0,138.65
SunLine Block 1012,23951,43,140.34
SunLine Block 1012,24012,43,142.25
SunLine Block 1012,24071,13,144.53
SunLine Block 1012,24131,40,151.86
SunLine Block 1012,24192,3,156.09
SunLine Block 1012,24252,4,156.09
SunLine Block 1012,24312,4,156.09
SunLine Block 1012,24372,0,156.09
SunLine Block 1012,24432,0,156.09
SunLine Block 1012,24492,0,156.09
SunLine Block 1012,24551,0,156.09
SunLine Block 1012,24611,0,156.09
SunLine Block 1012,24671,0,156.09
SunLine Block 1012,24732,0,156.09
SunLine Block 1012,24791,0,156.09
SunLine Block 1012,24851,0,156.09
SunLine Block 1012,24914,0,169.54
SunLine Block 1012,24974,0,169.34
SunLine Block 1012,25034,0,169.54
SunLine Block 1012,25094,0,169.75
SunLine Block 1012,25154,0,169.59
SunLine Block 1012,25214,0,169.59
SunLine Block 1012,25274,0,169.59
SunLine Block 1012,25334,0,169.59
